stream	from1	to1	days	levels	department	coursecode	db1	cm	ass
	700	830	MONDAY	200	1	ECN 203	2016/2017	16	1
	930	1250	MONDAY	200	1	MGS 201	2016/2017	16	2
	1430	1510	MONDAY	200	1	INS 201	2016/2017	16	3
									
	700	830	TUESDAY	200	1	LAW 201	2016/2017	16	1
	930	1250	TUESDAY	200	1	MKT 201	2016/2017	16	2
	1430	1510	TUESDAY	200	1	FRE 101	2016/2017	16	3
									
	700	830	WEDNESDAY	200	1	ENG 101	2016/2017	16	1
	930	1250	WEDNESDAY	200	1	ACY 201	2016/2017	16	2
	1430	1510	WEDNESDAY	200	1	ENG 203	2016/2017	16	3
									
	700	830	THURSDAY	200	1		2016/2017	16	1
	930	1250	THURSDAY	200	1	BNF 201	2016/2017	16	2
	1430	1510	THURSDAY	200	1	ECN 201	2016/2017	16	3
									
	700	830	FRIDAY	200	1	ECN 206	2016/2017	16	1
	930	1250	FRIDAY	200	1	ACY 212	2016/2017	16	2
	1430	1510	FRIDAY	200	1	SPT 100	2016/2017	16	3
									
	700	830	MONDAY	200	2	ECN 203	2016/2017	16	1
	930	1250	MONDAY	200	2	MKT 201	2016/2017	16	2
	1430	1510	MONDAY	200	2	LAW 201	2016/2017	16	3
									
	700	830	TUESDAY	200	2		2016/2017	16	1
	930	1250	TUESDAY	200	2	ECN 201	2016/2017	16	2
	1430	1510	TUESDAY	200	2	ENG 101	2016/2017	16	3
									
	700	830	WEDNESDAY	200	2	ACY 201	2016/2017	16	1
	930	1250	WEDNESDAY	200	2	INS 201	2016/2017	16	2
	1430	1510	WEDNESDAY	200	2	ECN 203	2016/2017	16	3
									
	700	830	THURSDAY	200	2	MGS 201	2016/2017	16	1
	930	1250	THURSDAY	200	2	FRE 101	2016/2017	16	2
	1430	1510	THURSDAY	200	2	ACY 201	2016/2017	16	3
									
	930	1250	FRIDAY	200	2	BNF 201	2016/2017	16	1
	1430	1510	FRIDAY	200	2	ECN 201	2016/2017	16	2
			FRIDAY	200	2	SPT 100	2016/2017	16	3
									
	700	830	MONDAY	200	3	ECN 203	2016/2017	16	1
	930	1250	MONDAY	200	3	FRE 101	2016/2017	16	2
	1430	1510	MONDAY	200	3	MGS 201	2016/2017	16	3
									
	700	830	TUESDAY	200	3	MKT 201	2016/2017	16	1
	930	1250	TUESDAY	200	3	BNF 201	2016/2017	16	2
	1430	1510	TUESDAY	200	3	ECN 201	2016/2017	16	3
									
	700	830	WEDNESDAY	200	3	ECN 201	2016/2017	16	1
	930	1250	WEDNESDAY	200	3		2016/2017	16	2
	1430	1510	WEDNESDAY	200	3	ECN 203	2016/2017	16	3
									
	700	830	THURSDAY	200	3	INS 201	2016/2017	16	1
	930	1250	THURSDAY	200	3	MKT 201	2016/2017	16	2
	1430	1510	THURSDAY	200	3	ACY 201	2016/2017	16	3
									
	700	830	FRIDAY	200	3	LAW 201	2016/2017		1
	930	1250	FRIDAY	200	3	INS 201	2016/2017		2
	1430	1510	FRIDAY	200	3	SPT 100	2016/2017	16	3
									
	700	830	MONDAY	200	4	ECN 203	2016/2017	16	1
	930	1250	MONDAY	200	4		2016/2017	16	2
	1430	1510	MONDAY	200	4	MGS201	2016/2017	16	3
									
	700	830	TUESDAY	200	4	MGS 201	2016/2017	16	1
	930	1250	TUESDAY	200	4	INS 201	2016/2017	16	2
	1430	1510	TUESDAY	200	4	ACY 201	2016/2017	16	3
									
	700	830	WEDNESDAY	200	4	ECN  201	2016/2017	16	1
	930	1250	WEDNESDAY	200	4	MKT 201	2016/2017	16	2
	1430	1510	WEDNESDAY	200	4	ECN 203	2016/2017	16	3
									
	700	830	THURSDAY	200	4	BNF 201	2016/2017	16	1
	930	1250	THURSDAY	200	4	ECN 201	2016/2017	16	2
	1430	1510	THURSDAY	200	4	ENG 101	2016/2017	16	3
									
	700	830	FRIDAY	200	4	FRE 101	2016/2017		1
	930	1250	FRIDAY	200	4	LAW201	2016/2017		2
	1430	1510	FRIDAY	200	4	SPT100	2016/2017	16	3
									
	700	830	MONDAY	200	5	ECN 203	2016/2017	16	1
	930	1250	MONDAY	200	5	FRE 101	2016/2017	16	2
	1430	1510	MONDAY	200	5	MGS 201	2016/2017	16	3
									
	700	830	TUESDAY	200	5	MKT 201	2016/2017	16	
	930	1250	TUESDAY	200	5	BNF 201	2016/2017	16	
	1430	1510	TUESDAY	200	5	ECN 201	2016/2017	16	
									
	700	830	WEDNESDAY	200	5	ECN 201	2016/2017	16	1
	930	1250	WEDNESDAY	200	5		2016/2017	16	2
	1430	1510	WEDNESDAY	200	5	ECN 203	2016/2017	16	3
									
	700	830	THURSDAY	200	5	INS 201	2016/2017	16	
	930	1250	THURSDAY	200	5	MKT 201	2016/2017	16	
	1430	1510	THURSDAY	200	5	ACY 201	2016/2017	16	
									
	930	1250	FRIDAY	200	5	LAW 201	2016/2017	16	1
	1430	1510	FRIDAY	200	5	INS 201	2016/2017	16	2
			FRIDAY	200	5	SPT 100	2016/2017	16	3
